pytanie;poprawna odpowiedź;błędna odpowiedź 1;błędna odpowiedź 2
Jak nazywa się największy gatunek żaby na świecie?; Żaba goliat; Żaba trawna; Ropucha szara
Jak żaby oddychają?; Przez płuca i skórę; Tylko przez skrzela; Tylko przez skórę
Jakie środowisko jest typowe dla żab?; Lasy deszczowe i tereny wodne; Pustynie; Arktyka
Jak nazywa się młoda postać żaby?; Kijanka; Larwa; Pisklę
Co jest głównym pożywieniem dorosłych żab?; Owady; Nasiona; Glony
Jaką cechą odznacza się skóra żab?; Jest gładka i wilgotna; Jest sucha i szorstka; Jest pokryta łuskami
Jak żaby komunikują się między sobą?; Poprzez śpiew lub rechot; Poprzez wydzielanie feromonów; Poprzez gesty
Jak długo żyją żaby w naturalnym środowisku?; Około 5-10 lat; Zazwyczaj 1-2 lata; Zawsze ponad 20 lat
Który kontynent NIE jest zamieszkany przez żaby?; Antarktyda; Ameryka Południowa; Australia
Jaką rolę odgrywają żaby w ekosystemie?; Są zarówno drapieżnikami, jak i ofiarami; Nie mają znaczenia w łańcuchu pokarmowym; Są tylko drapieżnikami